,id,ticker,empresa,sector,sede,abandono
0,1,ABG,Abengoa,Industrial Services,Sevilla,2015
1,2,ABE,Abertis Infraestructuras,Industrial Services,Madrid,2018
2,3,ACR,Aceralia,Resources,Bilbao,2004
3,4,AGR,Agromán,Industrial Services,Madrid,1993
4,5,AGS,Aguas de Barcelona,Energy,Barcelona,2008
5,6,ALM,Almirall,Pharma,Barcelona,2022
6,7,ALT,Altadis,Consumer Goods,Madrid,2008
7,8,AMP,Amper,Telco,Pozuelo de Alarcón,1999
8,9,A3TV,Antena 3 TV,Media,San Sebastián de los Reyes,2008
9,10,LOR,Arcelor,Resources,Ciudad de Luxemburgo,2006
10,11,ARG,Argentaria,Banking,Madrid,2000
11,12,ASL,Asland,Chemical,Barcelona,1994
12,13,AZC,Asturiana de Zinc,Chemical,Asturias,2001
13,14,AUM,Autopistas del Mare Nostrum,Industrial Services,Valencia,2000
14,15,BBV,Banco Bilbao Vizcaya,Banking,Bilbao,2000
15,16,CEN,Banco Central,Banking,Madrid,1991
16,17,BCH,Banco Central Hispano,Banking,Madrid,1999
17,18,HIS,Banco Hispano Americano,Banking,Madrid,1991
18,19,POP,Banco Popular,Banking,Madrid,2017
19,20,BTO,Banesto,Banking,Madrid,2011
20,21,BKIA,Bankia,Banking,Valencia,2021
21,22,BME,Bolsas y Mercados Españoles,Banking,Madrid,2015
22,23,CAR,Carrefour,Grocery,Francia,2007
23,24,CEP,Cepsa,Energy,Madrid,1993
24,25,CIE,CIE Automotive,Resources,Bilbao,2022
25,26,CIN,Cintra,Industrial Services,Madrid,2009
26,27,CTE,Continente,Consumer Goods,Francia,2000
27,28,ALB,Corporación Financiera Alba,Capital Markets,Madrid,2003
28,29,CTF,Cortefiel,Retail,Madrid,1995
29,30,SEV,Compañía Sevillana de Electricidad,Energy,Sevilla,1999
30,31,CRI,Cristalería Española,Consumer Goods,Bilbao,2011
31,32,DIA,DIA,Grocery,Las Rozas,2018
32,33,DRC,Dragados,Industrial Services,Madrid,2003
33,34,EBA,Ebro Agrícolas,Consumer Goods,Madrid,2001
34,35,EBRO,Ebro Foods,Consumer Goods,Madrid,2014
35,36,ENC,ENCE Energía y Celulosa,Resources,Madrid,2020
36,37,ARA,Energía e Industrias Aragonesas,Chemical,Barcelona,2003
37,38,ECR,Ercros,Chemical,Barcelona,1992
38,39,FAD,Fadesa,Real Estate,La Coruña,2007
39,40,FCC,FCC,Industrial Services,Barcelona,2016
40,41,FEC,Fuerzas Eléctricas de Cataluña,Energy,Barcelona,1999
41,42,GES,GESA,Energy,Palma de Mallorca,1997
42,43,MAS,Grupo MásMóvil,Telco,Alcobendas,2020
43,44,CAN,Hidrocantábrico,Energy,Oviedo,2002
44,45,HHU,Huarte,Industrial Services,Pamplona,1998
45,46,IBR,Iberdrola Renovables,Energy,Valencia,2011
46,47,IBLA,Iberia,Travel,Madrid,2011
47,48,JAZ,Jazztel,Telco,Pozuelo de Alarcón,2015
48,49,TL5,Mediaset España,Media,Madrid,2020
49,50,MVC,Metrovacesa,Real Estate,Madrid,2007
50,51,TEM,Movistar Móviles,Telco,Madrid,2006
51,52,NHH,NH Hotel Group,Travel,Madrid,2008
52,53,OHL,OHL,Industrial Services,Madrid,2016
53,54,PHM,PharmaMar,Pharma,Colmenar Viejo,2022
54,55,GPP,Picking Pack,Telco,El Prat de Llobregat,2001
55,56,VDR,Portland Valderrivas,Industrial Services,Pamplona,1995
56,57,PRS,Prisa,Media,Madrid,2007
57,58,PSG,Prosegur,Security,Madrid,1991
58,59,PRY,Pryca,Grocery,Madrid,2000
59,60,PUL,Puleva,Consumer Goods,Granada,2001
60,61,RAD,Radiotrónica,High Tech,Madrid,1999
61,62,SAR,Sarrió,Resources,Barcelona,1993
62,63,SGRE,Siemens Gamesa Renewable Energy,Industrial Services,Zamudio,2022
63,64,SGC,Sogecable,Telco,Tres Cantos,2008
64,65,TRE,Técnicas Reunidas,Energy,Madrid,2019
65,66,TEM,Telefónica Móviles,Telco,Madrid,2006
66,67,TPI,Telefónica Publicidad e Información,Telco,Madrid,2006
67,68,TPZ,Telepizza,Consumer Goods,San Sebastián de los Reyes,2002
68,69,TRR,Terra Networks,Telco,Madrid,2005
69,70,TUB,Tubacex,Resources,Llodio,1999
70,71,URA,Uralita,Industrial Services,Madrid,2000
71,72,UNF,Unión Fenosa,Energy,Madrid,2009
72,73,URB,Urbis,Real Estate,Madrid,1993
73,74,VIS,Viscofan,Consumer Goods,Tajonar,2021
74,75,ZOT,Zardoya Otis,Industrial Services,Madrid,1994
75,76,ZEL,Zeltia,Pharma,Madrid,2005
