name,date,do,pred,error,stock,day_gap,money,evolution,opti_real,opti_pred
bankinter,2024-01-02,6.18,6.11,-0.0699999999999994,16,,,,,
bankinter,2024-01-03,6.07,6.17,0.09999999999999964,16,-0.10999999999999943,-1.759999999999991,98.24,,
bankinter,2024-01-04,5.96,6.06,0.09999999999999964,16,-0.11000000000000032,-1.7600000000000051,96.48,,
bankinter,2024-01-05,5.93,5.96,0.03000000000000025,16,-0.03000000000000025,-0.480000000000004,96.0,,
bankinter,2024-01-08,6.06,5.93,-0.1299999999999999,16,0.1299999999999999,2.0799999999999983,98.08,,
bankinter,2024-01-09,6.12,6.05,-0.07000000000000028,16,0.0600000000000005,0.960000000000008,99.04,,
bankinter,2024-01-10,6.01,6.11,0.10000000000000053,16,-0.11000000000000032,-1.7600000000000051,97.28,,
bankinter,2024-01-11,5.86,6.01,0.14999999999999947,17,-0.14999999999999947,-2.549999999999991,94.73,,
bankinter,2024-01-12,5.84,5.86,0.020000000000000462,17,-0.020000000000000462,-0.34000000000000785,94.39,,
bankinter,2024-01-15,5.88,5.84,-0.040000000000000036,17,0.040000000000000036,0.6800000000000006,95.07,,
bankinter,2024-01-16,5.96,5.88,-0.08000000000000007,16,0.08000000000000007,1.2800000000000011,96.35,,
bankinter,2024-01-17,6.0,5.96,-0.040000000000000036,16,0.040000000000000036,0.6400000000000006,96.99,,
bankinter,2024-01-18,6.12,6.0,-0.1200000000000001,16,0.1200000000000001,1.9200000000000017,98.91,,
bankinter,2024-01-19,5.75,6.11,0.3600000000000003,17,-0.3700000000000001,-6.290000000000002,92.62,,
bankinter,2024-01-22,5.8,5.75,-0.04999999999999982,17,0.04999999999999982,0.849999999999997,93.47,,
bankinter,2024-01-23,5.75,5.8,0.04999999999999982,17,-0.04999999999999982,-0.849999999999997,92.62,,
bankinter,2024-01-24,5.73,5.75,0.019999999999999574,17,-0.019999999999999574,-0.33999999999999275,92.28,,
bankinter,2024-01-25,5.72,5.73,0.010000000000000675,17,-0.010000000000000675,-0.17000000000001148,92.11,,
bankinter,2024-01-26,5.6,5.72,0.1200000000000001,17,-0.1200000000000001,-2.040000000000002,90.07,,
bankinter,2024-01-29,5.62,5.6,-0.020000000000000462,17,0.020000000000000462,0.34000000000000785,90.41,,
bankinter,2024-01-30,5.57,5.62,0.04999999999999982,17,-0.04999999999999982,-0.849999999999997,89.56,,
bankinter,2024-01-31,5.63,5.57,-0.05999999999999961,17,0.05999999999999961,1.0199999999999934,90.58,,
bankinter,2024-02-01,5.56,5.63,0.07000000000000028,17,-0.07000000000000028,-1.1900000000000048,89.39,,
bankinter,2024-02-02,5.53,5.56,0.02999999999999936,18,-0.02999999999999936,-0.5399999999999885,88.85,,
bankinter,2024-02-05,5.59,5.53,-0.05999999999999961,17,0.05999999999999961,1.0199999999999934,89.87,,101.02
bankinter,2024-02-06,5.73,5.59,-0.14000000000000057,17,0.14000000000000057,2.3800000000000097,92.25,102.38,103.4
bankinter,2024-02-07,5.81,5.73,-0.07999999999999918,17,0.07999999999999918,1.359999999999986,93.61,103.74,104.76
bankinter,2024-02-08,5.75,5.81,0.05999999999999961,17,-0.05999999999999961,-1.0199999999999934,92.59,102.72,103.74
bankinter,2024-02-09,5.78,5.75,-0.03000000000000025,17,0.03000000000000025,0.5100000000000042,93.1,103.23,104.25
bankinter,2024-02-12,5.64,5.78,0.14000000000000057,17,-0.14000000000000057,-2.3800000000000097,90.72,100.85,101.87
bankinter,2024-02-13,5.66,5.64,-0.020000000000000462,17,0.020000000000000462,0.34000000000000785,91.06,101.19,102.21
bankinter,2024-02-14,5.72,5.66,-0.05999999999999961,17,0.05999999999999961,1.0199999999999934,92.08,102.21,103.23
bankinter,2024-02-15,5.73,5.72,-0.010000000000000675,17,0.010000000000000675,0.17000000000001148,92.25,102.38,103.4
bankinter,2024-02-16,5.8,5.73,-0.0699999999999994,17,0.0699999999999994,1.1899999999999897,93.44,103.57,104.59
bankinter,2024-02-19,5.81,5.8,-0.009999999999999787,17,0.009999999999999787,0.16999999999999638,93.61,103.74,104.76
bankinter,2024-02-20,5.85,5.81,-0.040000000000000036,17,0.040000000000000036,0.6800000000000006,94.29,104.42,105.44
bankinter,2024-02-21,5.89,5.85,-0.040000000000000036,16,0.040000000000000036,0.6400000000000006,94.93,105.06,106.08
bankinter,2024-02-22,5.92,5.89,-0.03000000000000025,16,0.03000000000000025,0.480000000000004,95.41,105.54,106.56
bankinter,2024-02-23,5.87,5.92,0.04999999999999982,17,-0.04999999999999982,-0.849999999999997,94.56,104.69,105.71
bankinter,2024-02-26,6.0,5.87,-0.1299999999999999,16,0.1299999999999999,2.0799999999999983,96.64,106.77,107.79
